s,kappa,dt,refline/x,refline/y,refline/z,refline/v,inner_edge/x,inner_edge/y,outer_edge/x,outer_edge/y,e_min,e_max,image,image_metadata,seq_num,course_id,name,t
0.0,-0.00019052232805325095,0.0,-662.5811325393162,-78.91583534056022,61.9692354956642,43.38248604529646,-668.7553751617997,-79.4813766861357,-661.6075621372742,-78.82665933163918,-0.9776459933428452,6.200089432810444,,,1,1,1,0.0
1.0,-0.0001952533922460884,0.03001641769021028,-662.6733880598906,-77.9205933512871,61.9692354956642,43.17255689936282,-668.8742342332218,-78.48980445317768,-661.7336614456814,-77.83434766064762,-0.9436760582560885,6.226917212301851,,,1,1,1,0.03001641769021028
2.0,-0.00019998445643892586,0.06003283538042056,-662.7656435804652,-76.92535136201396,61.9692354956642,42.962627753429175,-668.9930933046439,-77.49823222021965,-661.8597607540887,-76.84203598965607,-0.9097061231693317,6.253744991793259,,,1,1,1,0.06003283538042056
3.0,-0.0002047155206317633,0.09004925307063084,-662.8578991010396,-75.93010937274083,61.9692354956642,42.75269860749553,-669.1119523760659,-76.50665998726163,-661.9858600624959,-75.8497243186645,-0.8757361880825751,6.280572771284667,,,1,1,1,0.09004925307063084
4.0,-0.0002055831884995778,0.09900259717465476,-662.9502945719302,-74.93474686592226,61.9692354956642,42.54037015566432,-669.2319715830521,-75.5151151385416,-662.1076026433356,-74.85690150301517,-0.8462798807409839,6.308430578832443,,,1,1,1,0.11988092768399189
5.0,-0.00020475991405682128,0.09873699522158666,-663.0427512966737,-73.93933161064103,61.9692354956642,42.32699156879211,-669.3524985614772,-74.52358227543289,-662.2274383592408,-73.86385496811575,-0.818799110850478,6.336739211994537,,,1,1,1,0.14963174342113408
6.0,-0.00020393663961406475,0.09847139326851856,-663.1352080214173,-72.94391635535982,61.9692354956642,42.11361298191989,-669.4730255399023,-73.53204941232417,-662.3472740751458,-72.87080843321633,-0.791318340959972,6.365047845156632,,,1,1,1,0.17938255915827625
7.0,-0.00020054448850280273,0.09820502379430943,-663.2277213587297,-71.94843657060096,61.9692354956642,41.89879967597533,-669.5905273175107,-72.54014395684668,-662.4701642008882,-71.87799584904268,-0.7608250542775212,6.390259694268893,,,1,1,1,0.20902872317364712
8.0,-0.00019315333697954748,0.09793745951094622,-663.3203228254913,-70.95285633204813,61.9692354956642,41.68175292603878,-669.7033197295583,-71.54765848246265,-662.5978091622159,-70.88554745870529,-0.7256421474043383,6.410650743362623,,,1,1,1,0.23851197462742635
9.0,-0.00018576218545629224,0.097669895227583,-663.4129242922529,-69.9572760934953,61.9692354956642,41.46470617610224,-669.8161121416059,-70.55517300807861,-662.7254541235434,-69.8930990683679,-0.6904592405311554,6.4310417924563525,,,1,1,1,0.2679952260812056
10.0,-0.00017826583040514828,0.09740203175704532,-663.5055344330273,-68.96168247391368,61.9692354956642,41.24732197955936,-669.9294328649163,-69.56271031298925,-662.8532524606198,-68.90065596296864,-0.6551305283265957,6.451953644787931,,,1,1,1,0.2974549829068348
11.0,-0.00016966113409192578,0.09713101628678657,-663.5982359563482,-67.96594788238353,61.9692354956642,41.02638271214527,-670.0483194583404,-68.57048760255344,-662.9826666434236,-67.90826853550246,-0.6182657263326629,6.478352268613927,,,1,1,1,0.32666721889035505
12.0,-0.00016105643777870331,0.09686000081652782,-663.690937479669,-66.97021329085338,61.9692354956642,40.80544344473118,-670.1672060517645,-67.57826489211763,-663.1120808262273,-66.91588110803629,-0.58140092433873,6.504750892439922,,,1,1,1,0.35587945487387523
13.0,-0.00015245174146548082,0.09658898534626907,-663.7836390029898,-65.97447869932324,61.9692354956642,40.58450417731709,-670.2860926451887,-66.58604218168183,-663.2414950090309,-65.9234936805701,-0.5445361223447972,6.531149516265918,,,1,1,1,0.3850916908573955
14.0,-0.0001545260237791315,0.09631667495454033,-663.8763961284329,-64.97863393228425,61.9692354956642,40.360362865071735,-670.4112912155032,-65.59429280989782,-663.3624527610336,-64.93022367596545,-0.516218315651376,6.563832092487509,,,1,1,1,0.4140906287684066
15.0,-0.00015957286236177812,0.09604400411383347,-663.9691687310525,-63.982758497246884,61.9692354956642,40.13533024488678,-670.5382467615672,-64.60267519470085,-663.4810566159766,-63.93670800084328,-0.4902796151767537,6.598263843676132,,,1,1,1,0.44303019391121995
16.0,-0.00016461970094442473,0.0957713332731266,-664.0619413336722,-62.98688306220951,61.9692354956642,39.910297624701826,-670.665202307631,-63.611057579503864,-663.5996604709196,-62.94319232572111,-0.4643409147021315,6.632695594864755,,,1,1,1,0.47196975905403327
17.0,-0.0001860537055887468,0.0954992801214388,-664.1549624798697,-61.99092969881011,61.9692354956642,39.68324495997265,-670.7884924465673,-62.61919550006772,-663.7212488605717,-61.94986212151621,-0.435653599946819,6.663215478697451,,,1,1,1,0.5007796547155827
18.0,-0.00022539634119526502,0.09522790200804923,-664.2482552456506,-60.99489117179722,61.9692354956642,39.45398469985244,-670.9077768639937,-61.627066259132995,-663.8460988837787,-60.95673460825858,-0.4039624760749672,6.689460298215384,,,1,1,1,0.5294478417450065
19.0,-0.00026473897680178327,0.09495652389465967,-664.3415480114315,-59.99885264478432,61.9692354956642,39.22472443973223,-671.0270612814203,-60.634937018198265,-663.9709489069858,-59.963607095000945,-0.3722713522031154,6.715705117733317,,,1,1,1,0.5581160287744303
20.0,-0.00031372100655076046,0.09468541461915461,-664.4351078860233,-59.00277640646259,61.9692354956642,38.994759916119975,-671.1459320019319,-59.64298613770958,-664.0949670293311,-58.970333551789906,-0.3416845782589427,6.7412931824683,,,1,1,1,0.5867374325095777
21.0,-0.0004086598601491254,0.09441558705649575,-664.5299412299206,-58.00652037551572,61.9692354956642,38.761437742351596,-671.2628303789579,-58.65188560937781,-664.2150189769568,-57.97636379544073,-0.3163629085676279,6.763750099806851,,,1,1,1,0.6151357919763427
22.0,-0.0005035987137474903,0.0941457594938369,-664.624774573818,-57.01026434456885,61.9692354956642,38.52811556858321,-671.3797287559839,-57.660785081046036,-664.3350709245824,-56.98239403909157,-0.29104123887631306,6.786207017145402,,,1,1,1,0.6435341514431077
23.0,-0.0005985375673458553,0.09387593193117803,-664.7196079177153,-56.01400831362198,61.9692354956642,38.29479339481483,-671.49662713301,-56.669684552714266,-664.455122872208,-55.98842428274239,-0.26571956918499817,6.808663934483953,,,1,1,1,0.6719325109098726
24.0,-0.0007622821127950566,0.0935991417173728,-664.816683326156,-55.01766948196164,61.9692354956642,38.058914837967286,-671.6161636401359,-55.681274535394294,-664.5587680655634,-54.99250665184571,-0.25914003917644823,6.831792082286856,,,1,1,1,0.7000894421737296
25.0,-0.0009364039081504096,0.09332130139900481,-664.9140968819714,-54.02131816232722,61.9692354956642,37.82265072833545,-671.7360980291027,-54.693270299985585,-664.659938798091,-53.99629524320446,-0.2553871919906754,6.855021464829005,,,1,1,1,0.7282099613221268
26.0,-0.0011105257035057626,0.09304346108063681,-665.011510437787,-53.0249668426928,61.9692354956642,37.58638661870361,-671.8560324180695,-53.705266064576875,-664.7611095306186,-53.0000838345632,-0.25163434480490254,6.878250847371155,,,1,1,1,0.756330480470524
